DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
177542,177542,MiniPAT,13:05:02 28-Jan-2019,Argos,3,-2.7405,-87.1243,169,231,123,105,,,,,,
177542,177542,MiniPAT,13:22:58 28-Jan-2019,Argos,3,-2.7424,-87.1264,189,229,155,124,,,,,,
177542,177542,MiniPAT,13:54:22 28-Jan-2019,Argos,3,-2.7461,-87.1248,184,204,165,10,,,,,,
177542,177542,MiniPAT,14:29:13 28-Jan-2019,Argos,3,-2.7503,-87.1265,180,214,150,105,,,,,,
177542,177542,MiniPAT,15:03:28 28-Jan-2019,Argos,2,-2.7541,-87.1325,281,1367,57,101,,,,,,
177542,177542,MiniPAT,15:06:27 28-Jan-2019,Argos,3,-2.7552,-87.1275,208,232,185,175,,,,,,
177542,177542,MiniPAT,15:32:50 28-Jan-2019,Argos,3,-2.7591,-87.1305,172,218,135,90,,,,,,
177542,177542,MiniPAT,16:09:09 28-Jan-2019,Argos,3,-2.7634,-87.1329,166,198,139,9,,,,,,
177542,177542,MiniPAT,22:12:09 28-Jan-2019,Argos,3,-2.7690,-87.1579,142,390,51,77,,,,,,
177542,177542,MiniPAT,23:17:57 28-Jan-2019,Argos,3,-2.7671,-87.1612,139,233,82,107,,,,,,
177542,177542,MiniPAT,23:47:56 28-Jan-2019,Argos,2,-2.7641,-87.1679,300,506,178,158,,,,,,
177542,177542,MiniPAT,00:09:07 29-Jan-2019,Argos,3,-2.7649,-87.1667,140,184,106,72,,,,,,
177542,177542,MiniPAT,01:00:03 29-Jan-2019,Argos,2,-2.7598,-87.1722,259,413,162,5,,,,,,
177542,177542,MiniPAT,01:43:30 29-Jan-2019,Argos,3,-2.7586,-87.1706,177,237,132,166,,,,,,
